id,date,vaccines,tests,recovered,deaths,hosp,vent,icu,population,new_confirmed,confirmed
BEL,2020-03-06,0,3530,1,0,0,0,0,11433256,27,218
CHE,2020-03-06,0,0,3,2,0,0,0,8513227,49,245
CHN,2020-03-06,0,0,0,3045,0,0,0,1392730000,103,80688
DEU,2020-03-06,0,0,810,8,0,0,0,82905782,142,854
DPC,2020-03-06,0,0,40,6,0,0,0,3711,0,571
ESP,2020-03-06,0,0,2,5,0,0,0,46796540,100,380
FRA,2020-03-06,0,0,12,0,0,0,0,66977107,336,849
GBR,2020-03-06,0,0,8,6,0,0,0,66460344,67,311
IRN,2020-03-06,0,0,913,124,0,0,0,81800269,1076,5684
ITA,2020-03-06,0,36359,523,197,2856,0,462,60421760,1247,5654
JPN,2020-03-06,0,7476,69,6,273,0,30,126529100,59,302
KOR,2020-03-06,0,164740,135,42,0,0,0,51606633,448,6937
NOR,2020-03-06,0,0,0,0,0,0,0,5311916,39,39
SGP,2020-03-06,0,0,78,0,0,0,0,5638676,8,36
SWE,2020-03-06,0,0,0,0,7,0,1,10175214,33,33
USA,2020-03-06,0,5090,7,14,0,0,0,326687501,166,296
BEL,2020-03-07,0,4005,1,0,0,0,0,11433256,64,282
CHE,2020-03-07,0,0,3,2,0,0,0,8513227,69,314
CHN,2020-03-07,0,0,0,3073,0,0,0,1392730000,46,80734
DEU,2020-03-07,0,0,948,12,0,0,0,82905782,103,957
DPC,2020-03-07,0,0,40,6,0,0,0,3711,0,571
ESP,2020-03-07,0,0,30,10,0,0,0,46796540,173,553
FRA,2020-03-07,0,0,12,0,0,0,0,66977107,177,1026
GBR,2020-03-07,0,0,18,6,0,0,0,66460344,57,368
IRN,2020-03-07,0,0,1669,145,0,0,0,81800269,743,6427
ITA,2020-03-07,0,42062,589,233,3218,0,567,60421760,1492,7146
JPN,2020-03-07,0,8029,76,6,325,0,28,126529100,47,349
KOR,2020-03-07,0,178189,135,44,0,0,0,51606633,273,7210
NLD,2020-03-07,0,0,0,1,7,0,21,17231624,32,32
NOR,2020-03-07,0,0,0,0,0,0,0,5311916,29,68
SGP,2020-03-07,0,0,78,0,0,0,0,5638676,12,48
SWE,2020-03-07,0,0,0,0,7,0,1,10175214,46,79
USA,2020-03-07,0,6861,7,17,0,0,0,326687501,116,412
AUT,2020-03-08,0,0,2,0,0,0,0,8840521,22,22
BEL,2020-03-08,0,4488,1,0,0,0,0,11433256,94,376
CHE,2020-03-08,0,0,3,3,0,0,0,8513227,191,505
CHN,2020-03-08,0,0,0,3101,0,0,0,1392730000,45,80779
DEU,2020-03-08,0,0,1050,13,0,0,0,82905782,345,1302
DPC,2020-03-08,0,0,40,6,0,0,0,3711,0,571
ESP,2020-03-08,0,0,30,17,0,0,0,46796540,400,953
FRA,2020-03-08,0,0,12,0,0,0,0,66977107,286,1312
GBR,2020-03-08,0,0,18,9,0,0,0,66460344,147,515
IRN,2020-03-08,0,0,2134,194,0,0,0,81800269,595,7022
ITA,2020-03-08,0,49937,622,366,4207,0,650,60421760,1797,8943
JPN,2020-03-08,0,8176,80,6,368,0,27,126529100,33,382
KOR,2020-03-08,0,188518,118,50,0,0,0,51606633,164,7374
NLD,2020-03-08,0,0,0,2,12,0,27,17231624,61,93
NOR,2020-03-08,0,0,0,0,0,0,0,5311916,29,97
SGP,2020-03-08,0,0,78,0,0,0,0,5638676,0,48
SWE,2020-03-08,0,0,0,0,7,0,1,10175214,101,180
USA,2020-03-08,0,8500,7,21,0,0,0,326687501,75,487
AUT,2020-03-09,0,0,2,0,0,0,0,8840521,55,77
BEL,2020-03-09,0,5098,1,0,0,0,0,11433256,99,475
CHE,2020-03-09,0,0,3,3,0,0,0,8513227,210,715
CHN,2020-03-09,0,0,0,3124,0,0,0,1392730000,20,80799
DEU,2020-03-09,0,0,1388,20,0,0,0,82905782,597,1899
DPC,2020-03-09,0,0,40,6,0,0,0,3711,0,571
ESP,2020-03-09,0,0,32,28,0,0,0,46796540,622,1575
FRA,2020-03-09,0,0,12,0,0,0,0,66977107,372,1684
GBR,2020-03-09,0,0,18,14,0,0,0,66460344,266,781
IRN,2020-03-09,0,0,2394,237,0,0,0,81800269,881,7903
ITA,2020-03-09,0,53826,724,463,5049,0,733,60421760,977,9920
JPN,2020-03-09,0,8286,101,7,379,0,33,126529100,26,408
KOR,2020-03-09,0,196618,118,53,0,0,0,51606633,35,7409
MYS,2020-03-09,0,8834,26,0,0,0,0,31528585,12,12
NLD,2020-03-09,0,0,0,3,4,0,32,17231624,130,223
NOR,2020-03-09,0,0,1,0,2,0,0,5311916,195,292
SGP,2020-03-09,0,0,78,0,0,0,0,5638676,10,58
SWE,2020-03-09,0,0,0,0,10,0,0,10175214,98,278
USA,2020-03-09,0,10895,7,22,0,0,0,326687501,188,675
AUS,2020-03-10,0,10165,0,3,0,0,0,24982688,15,15
AUT,2020-03-10,0,0,3,0,0,0,0,8840521,109,186
BEL,2020-03-10,0,5902,1,1,0,0,0,11433256,174,649
BHR,2020-03-10,0,8354,22,0,0,0,0,1569439,85,85
CHE,2020-03-10,0,0,3,5,0,0,0,8513227,333,1048
CHN,2020-03-10,0,0,0,3140,0,0,0,1392730000,31,80830
DEU,2020-03-10,0,0,1981,24,0,0,0,82905782,755,2654
DNK,2020-03-10,0,2530,1,0,0,0,0,5793636,180,180
DPC,2020-03-10,0,0,40,6,0,0,0,3711,0,571
ESP,2020-03-10,0,0,32,35,0,0,0,46796540,582,2157
FRA,2020-03-10,0,0,12,0,0,0,0,66977107,497,2181
GBR,2020-03-10,0,0,18,17,0,0,0,66460344,403,1184
IRN,2020-03-10,0,0,2731,291,0,0,0,81800269,958,8861
ITA,2020-03-10,0,60761,1004,631,5915,0,877,60421760,2313,12233
JPN,2020-03-10,0,9600,102,9,402,0,31,126529100,54,462
KOR,2020-03-10,0,210144,247,54,0,0,0,51606633,242,7651
MYS,2020-03-10,0,9792,26,0,0,0,0,31528585,20,32
NLD,2020-03-10,0,0,0,3,12,0,39,17231624,123,346
NOR,2020-03-10,0,0,1,0,8,0,0,5311916,198,490
